# NOTICE: This file was automatically generated by https://github.com/khimaros/enc using the following invocation: enc question.en -o answer.csv
# provide a detailed mathematical formula to describe all of physics
"Category","Component","Symbol","Name","Description","Formula_Representation"
"Total Action","Full Equation","S_total","Total Action for Known Physics","The total action combines General Relativity (via the Einstein-Hilbert action) and the Standard Model. The principle of least action states that the path taken by the system corresponds to an extremum of this action. This currently represents the most complete fundamental description of the universe, excluding phenomena like dark matter and dark energy.","S_total = ∫ d⁴x √-g [ (c⁴/(16πG))R + L_SM ]"
"General Relativity","Action","S_EH","Einstein-Hilbert Action","The action for the gravitational field as described by General Relativity.","∫ d⁴x √-g [ (c⁴/(16πG))R ]"
"General Relativity","Term","R","Ricci Scalar","The curvature of spacetime, a measure of how the volume of a small ball in curved space deviates from that of a standard ball in Euclidean space.","R = g^μν * R_μν"
"General Relativity","Term","R_μν","Ricci Curvature Tensor","A tensor representing the amount by which the volume of a geodesic ball in a curved Riemannian manifold deviates from that of the standard ball in Euclidean space.","R_μν = ∂_ρ(Γ^ρ_μν) - ∂_ν(Γ^ρ_μρ) + Γ^ρ_ρσ*Γ^σ_μν - Γ^ρ_νσ*Γ^σ_μρ"
"General Relativity","Term","g_μν","Metric Tensor","A tensor that defines the geometry of spacetime, used to measure distances, angles, and volumes.","ds² = g_μν dx^μ dx^ν"
"General Relativity","Term","g","Determinant of the Metric Tensor","The determinant of the metric tensor, used in the volume element for integration over spacetime.","g = det(g_μν)"
"General relativity","Constant","G","Newtonian Gravitational Constant","A fundamental physical constant quantifying the magnitude of the gravitational force between two bodies.","6.67430(15) × 10⁻¹¹ m³ kg⁻¹ s⁻²"
"General relativity","Constant","c","Speed of Light in Vacuum","A fundamental physical constant, the speed at which all massless particles and associated fields travel in a vacuum.","299,792,458 m/s"
"Standard Model","Lagrangian","L_SM","Standard Model Lagrangian","The Lagrangian density for the Standard Model, describing the dynamics of all known elementary particles and their interactions via the electromagnetic, weak, and strong forces.","L_SM = L_Gauge + L_Fermion + L_Higgs + L_Yukawa"
"Standard Model","Component","L_Gauge","Gauge Field Lagrangian","Describes the kinetics and self-interactions of the force-carrying gauge bosons (gluons, W/Z bosons, photons).","-1/4 G^a_μν G_a^μν - 1/4 W^a_μν W_a^μν - 1/4 B_μν B^μν"
"Standard Model","Term","G^a_μν","Gluon Field Strength Tensor","Describes the field of the strong force carriers (gluons).","∂_μ G^a_ν - ∂_ν G^a_μ + g_s f^abc G^b_μ G^c_ν"
"Standard Model","Term","W^a_μν","W Boson Field Strength Tensor","Describes the field of the weak force carriers (W bosons).","∂_μ W^a_ν - ∂_ν W^a_μ + g f^abc W^b_μ W^c_ν"
"Standard Model","Term","B_μν","B Boson Field Strength Tensor","Describes the field of the weak hypercharge (related to photons and Z bosons).","∂_μ B_ν - ∂_ν B_μ"
"Standard Model","Component","L_Fermion","Fermion Lagrangian","Describes the kinetic energy of matter particles (quarks and leptons) and their interactions with the gauge bosons.","Σ_f iψ̄_f γ^μ D_μ ψ_f"
"Standard Model","Term","ψ_f","Fermion Field (Dirac Spinor)","A quantum field representing a specific type of fermion (e.g., electron, up quark).",""
"Standard Model","Term","D_μ","Covariant Derivative","An operator that incorporates the effects of gauge fields, ensuring the Lagrangian is gauge invariant.","D_μ = ∂_μ - i g_s (λ^a/2)G^a_μ - i g (τ^a/2)W^a_μ - i g' (Y/2)B_μ"
"Standard Model","Term","γ^μ","Gamma Matrices (Dirac Matrices)","Matrices in the Dirac equation that describe the properties of spin-1/2 particles.","{γ^μ, γ^ν} = 2g^μν"
"Standard Model","Component","L_Higgs","Higgs Lagrangian","Describes the kinetic energy, self-interaction, and potential of the Higgs field, which gives mass to W and Z bosons via spontaneous symmetry breaking.","(D^μΦ)†(D_μΦ) - V(Φ)"
"Standard Model","Term","Φ","Higgs Field","A scalar field that permeates all of space; its non-zero vacuum expectation value breaks the electroweak symmetry.",""
"Standard Model","Term","V(Φ)","Higgs Potential","The potential energy of the Higgs field, which has a 'mexican hat' shape, leading to a non-zero vacuum expectation value.","μ²Φ†Φ + λ(Φ†Φ)²"
"Standard Model","Component","L_Yukawa","Yukawa Lagrangian","Describes the interaction between the Higgs field and fermion fields, which gives mass to the fermions (quarks and leptons).","-Σ_f y_f (L̄_f Φ R_f + R̄_f Φ† L_f)"
"Standard Model","Term","y_f","Yukawa Coupling","A constant for each fermion type that determines the strength of its interaction with the Higgs field, and thus its mass.",""
"Standard Model","Term","L_f, R_f","Left- and Right-handed Fermion Fields","Chiral components of the fermion spinor fields, which interact differently with the weak force.",""
